,dg / kcal mol-1,dg_95_ci / kcal mol-1,tot_simtime / ns,tot_gpu_time / GPU hours,normalised_gpu_time
restrain_stage,1.24,0.13,6,6,0.041
discharge_stage,161.95,2.51,24,24,0.164
vanish_stage,27.32,4.25,102,116,0.795
bound_leg,180.93,5.52,132,146,1.0
