#This file was generated on Sun Jul 20 17:34:36 2025
#Using the somd command, of the molecular library Sire version <2025.2.0.dev> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 250000 moves, 1 cycles and 1000 ps of simulation time
#Generating lambda is		 1.00000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]               [potential]                [gradient]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     200           -5.23249931e+05           -5.98268783e-01            1.00059845e+00            9.99401910e-01     3.234098009552634e+04     3.234097615070200e+04     3.234098410206606e+04     3.234098016935294e+04     3.234098162403066e+04     3.234098009552634e+04     3.234098005692240e+04     3.234098009394323e+04     3.234098086754507e+04     3.234098019919005e+04     3.234098009552634e+04
     400           -5.07895945e+05            4.54301660e+00            9.95467287e-01            1.00455335e+00     3.246966776164471e+04     3.246966373381346e+04     3.246967209563814e+04     3.246967035072864e+04     3.246967976993012e+04     3.246969994918069e+04     3.246974781515173e+04     3.246984087311111e+04     3.247000606018555e+04     3.247027605418411e+04     3.247069776279599e+04
     600           -4.98148823e+05            3.72810217e+00            9.96278839e-01            1.00373506e+00     3.248907608760722e+04     3.248907196200681e+04     3.248908049251668e+04     3.248907831210498e+04     3.248908665193192e+04     3.248910355995397e+04     3.248914440664745e+04     3.248922383916786e+04     3.248936500031215e+04     3.248959527032567e+04     3.248995520270317e+04
     800           -4.92144295e+05           -1.14516963e-01            1.00011452e+00            9.99885490e-01     3.242636546627061e+04     3.242636133711212e+04     3.242636956610198e+04     3.242636585339083e+04     3.242636824214271e+04     3.242636911757520e+04     3.242637451668686e+04     3.242638510221280e+04     3.242640457926619e+04     3.242643455002375e+04     3.242648230801726e+04
    1000           -4.88301014e+05           -6.35548097e-01            1.00063575e+00            9.99364654e-01     3.242949662852754e+04     3.242949257786737e+04     3.242950074103020e+04     3.242949671175721e+04     3.242949825224928e+04     3.242949662852754e+04     3.242949658255169e+04     3.242949662703404e+04     3.242949741038301e+04     3.242949672768985e+04     3.242949662852754e+04
    1200           -4.85762997e+05            7.09061475e-01            9.99291190e-01            1.00070931e+00     3.236172419556986e+04     3.236172025401145e+04     3.236172823322780e+04     3.236172492139898e+04     3.236172824801224e+04     3.236173226861548e+04     3.236174424514421e+04     3.236176761270110e+04     3.236180960323537e+04     3.236187683171797e+04     3.236198253302980e+04
    1400           -4.84502213e+05            2.18866147e+01            9.78351159e-01            1.02212788e+00     3.249128517582022e+04     3.249128109998347e+04     3.249129068055313e+04     3.249129620597403e+04     3.249133290854522e+04     3.249142599902432e+04     3.249163554303536e+04     3.249204255542241e+04     3.249276263670674e+04     3.249394621881766e+04     3.249579151835165e+04
    1600           -4.83272710e+05            4.92688335e+00            9.95085234e-01            1.00493904e+00     3.243172639728614e+04     3.243172239982430e+04     3.243173081012597e+04     3.243172919519020e+04     3.243173938848916e+04     3.243176133157376e+04     3.243181328323560e+04     3.243191427981297e+04     3.243209353538034e+04     3.243238661103830e+04     3.243284429449013e+04
    1800           -4.82725172e+05           -2.47334990e-01            1.00024737e+00            9.99752696e-01     3.248173731520222e+04     3.248173315968558e+04     3.248174142257202e+04     3.248173758626692e+04     3.248173961182987e+04     3.248173988181583e+04     3.248174366001870e+04     3.248175111710642e+04     3.248176498671272e+04     3.248178590058903e+04     3.248181944683790e+04
    2000           -4.81997968e+05            2.22172623e+01            9.78027723e-01            1.02246590e+00     3.240515160147650e+04     3.240514748261719e+04     3.240515706853435e+04     3.240516282816488e+04     3.240519999460273e+04     3.240529472486654e+04     3.240550769238924e+04     3.240592135131222e+04     3.240665313360017e+04     3.240785608999136e+04     3.240973154995792e+04
